area,code,year,total,0-14,15-64,65+
Cameroon,120,2080,76875,19520,49255,8100
Cameroon,120,2085,80989,19755,51810,9424
Cameroon,120,2090,84845,19883,54181,10781
Cameroon,120,2095,88403,19921,56324,12159
Cameroon,120,2100,91641,19881,58189,13570
Central African Republic,140,2015,4546,1987,2392,166
Central African Republic,140,2020,4921,2073,2670,178
Central African Republic,140,2025,5489,2199,3093,197
Central African Republic,140,2030,6124,2362,3543,218
Central African Republic,140,2035,6798,2547,4005,246
Central African Republic,140,2040,7481,2682,4517,283
Central African Republic,140,2045,8166,2757,5074,335
Central African Republic,140,2050,8851,2802,5646,403
Central African Republic,140,2055,9538,2846,6203,489
Central African Republic,140,2060,10219,2894,6719,605
Central African Republic,140,2065,10877,2931,7172,774
Central African Republic,140,2070,11498,2945,7570,983
Central African Republic,140,2075,12067,2932,7934,1201
Central African Republic,140,2080,12579,2901,8265,1413
Central African Republic,140,2085,13035,2864,8563,1608
Central African Republic,140,2090,13433,2827,8782,1824
Central African Republic,140,2095,13774,2789,8922,2063
Central African Republic,140,2100,14055,2744,9005,2306
Chad,148,2015,14009,6666,6999,345
Chad,148,2020,16285,7529,8346,411
Chad,148,2025,18776,8390,9905,481
Chad,148,2030,21460,9223,11683,555
Chad,148,2035,24317,10004,13671,642
Chad,148,2040,27321,10719,15834,768
Chad,148,2045,30439,11360,18139,940
Chad,148,2050,33636,11931,20542,1163
Chad,148,2055,36878,12433,22998,1448
Chad,148,2060,40132,12875,25450,1807
Chad,148,2065,43357,13258,27853,2246
Chad,148,2070,46506,13579,30163,2765
Chad,148,2075,49532,13823,32355,3355
Chad,148,2080,52400,13993,34397,4010
Chad,148,2085,55072,14087,36263,4722
Chad,148,2090,57522,14111,37928,5483
Chad,148,2095,59733,14074,39383,6276
Chad,148,2100,61691,13978,40622,7091
Congo,178,2015,4996,2120,2708,168
Congo,178,2020,5687,2369,3121,197
Congo,178,2025,6455,2579,3639,237
Congo,178,2030,7319,2804,4223,292
Congo,178,2035,8277,3091,4818,367
Congo,178,2040,9309,3397,5447,465
Congo,178,2045,10389,3673,6134,582
Congo,178,2050,11510,3908,6900,702
Congo,178,2055,12675,4125,7735,815
Congo,178,2060,13886,4347,8603,936
Congo,178,2065,15135,4572,9466,1097
Congo,178,2070,16404,4779,10311,1315
Congo,178,2075,17676,4952,11121,1602
Congo,178,2080,18934,5092,11917,1926
Congo,178,2085,20166,5206,12718,2242
Congo,178,2090,21361,5306,13487,2568
Congo,178,2095,22500,5385,14195,2921
Congo,178,2100,23577,5440,14830,3306
Democratic Republic of the Congo,180,2015,76197,35313,38585,2299
Democratic Republic of the Congo,180,2020,89505,40989,45814,2702
Democratic Republic of the Congo,180,2025,104221,46398,54615,3207
Democratic Republic of the Congo,180,2030,120443,51619,64974,3849
Democratic Republic of the Congo,180,2035,138153,56881,76617,4655
Democratic Republic of the Congo,180,2040,157114,61993,89484,5638
Democratic Republic of the Congo,180,2045,176961,66552,103570,6839
Democratic Republic of the Congo,180,2050,197404,70386,118699,8320
Democratic Republic of the Congo,180,2055,218220,73513,134564,10144
Democratic Republic of the Congo,180,2060,239149,76070,150696,12383
Democratic Republic of the Congo,180,2065,260012,78190,166699,15122
Democratic Republic of the Congo,180,2070,280414,79751,182032,18631
Democratic Republic of the Congo,180,2075,300058,80746,196250,23062
Democratic Republic of the Congo,180,2080,318708,81125,209222,28362
Democratic Republic of the Congo,180,2085,336058,80988,220853,34216
Democratic Republic of the Congo,180,2090,351969,80470,230959,40540
Democratic Republic of the Congo,180,2095,366297,79646,239321,47331
Democratic Republic of the Congo,180,2100,378975,78657,245813,54506
Equatorial Guinea,226,2015,1175,440,702,34
Equatorial Guinea,226,2020,1406,516,851,39
Equatorial Guinea,226,2025,1637,590,1003,43
Equatorial Guinea,226,2030,1871,657,1165,49
Equatorial Guinea,226,2035,2105,714,1331,60
Equatorial Guinea,226,2040,2349,761,1519,69
Equatorial Guinea,226,2045,2597,801,1715,81
Equatorial Guinea,226,2050,2845,836,1904,105
Equatorial Guinea,226,2055,3093,866,2072,155
Equatorial Guinea,226,2060,3336,890,2224,222
Equatorial Guinea,226,2065,3569,906,2363,299
Equatorial Guinea,226,2070,3788,917,2501,370
Equatorial Guinea,226,2075,3991,921,2626,444
Equatorial Guinea,226,2080,4175,921,2740,515
Equatorial Guinea,226,2085,4342,917,2836,589
Equatorial Guinea,226,2090,4492,911,2914,667
Equatorial Guinea,226,2095,4625,902,2975,748
Equatorial Guinea,226,2100,4741,891,3020,829
Gabon,266,2015,1930,690,1153,87
Gabon,266,2020,2151,770,1287,94
Gabon,266,2025,2371,821,1445,106
Gabon,266,2030,2594,841,1626,126
Gabon,266,2035,2821,857,1804,159
Gabon,266,2040,3053,884,1966,203
Gabon,266,2045,3287,916,2114,257
Gabon,266,2050,3516,946,2251,319
Gabon,266,2055,3734,965,2387,382
Gabon,266,2060,3937,972,2526,439
Gabon,266,2065,4124,970,2666,489
Gabon,266,2070,4298,966,2793,539
Gabon,266,2075,4458,962,2890,606
Gabon,266,2080,4602,957,2951,694
Gabon,266,2085,4731,949,2998,783
Gabon,266,2090,4840,937,3041,862
Gabon,266,2095,4928,921,3076,931
Gabon,266,2100,4996,904,3098,994
Sao Tome and Principe,678,2015,196,85,105,6
Sao Tome and Principe,678,2020,218,91,121,6
Sao Tome and Principe,678,2025,242,96,139,7
Sao Tome and Principe,678,2030,268,101,158,9
Sao Tome and Principe,678,2035,296,107,177,12
Sao Tome and Principe,678,2040,324,113,197,14
Sao Tome and Principe,678,2045,352,118,215,19
Sao Tome and Principe,678,2050,380,122,236,22
Sao Tome and Principe,678,2055,407,125,255,27
Sao Tome and Principe,678,2060,434,128,276,31
Sao Tome and Principe,678,2065,461,130,295,35
Sao Tome and Principe,678,2070,486,132,312,42
Sao Tome and Principe,678,2075,511,133,328,50
Sao Tome and Principe,678,2080,534,134,343,57
Sao Tome and Principe,678,2085,555,135,356,64
Sao Tome and Principe,678,2090,575,134,369,71
Sao Tome and Principe,678,2095,592,134,380,78
Sao Tome and Principe,678,2100,607,132,389,86
Northern Africa,912,2015,225136,72764,140580,11791
Northern Africa,912,2020,246049,79063,152719,14267
Northern Africa,912,2025,266010,82438,166059,17514
Northern Africa,912,2030,285204,81585,182238,21381
Northern Africa,912,2035,304305,81848,196819,25637
Northern Africa,912,2040,323511,83789,209412,30310
Northern Africa,912,2045,342230,86445,219692,36094
Northern Africa,912,2050,359905,88419,228575,42911
Northern Africa,912,2055,376169,89003,237289,49878
Northern Africa,912,2060,390953,88673,246743,55537
Northern Africa,912,2065,404451,88173,256737,59541
Northern Africa,912,2070,416747,87909,265335,63503
Northern Africa,912,2075,427862,87799,271371,68693
Northern Africa,912,2080,437831,87456,273550,76825
Northern Africa,912,2085,446693,86730,276006,83956
Northern Africa,912,2090,454413,85675,278843,89895
Northern Africa,912,2095,460827,84440,281458,94930
Northern Africa,912,2100,465833,83176,282925,99733
Algeria,12,2015,39872,11424,26107,2340
Algeria,12,2020,43333,12859,27503,2971
Algeria,12,2025,46308,13021,29620,3667
Algeria,12,2030,48822,12049,32250,4523
Algeria,12,2035,51070,11238,34333,5500
Algeria,12,2040,53249,10904,35723,6623
Algeria,12,2045,55412,11081,36269,8061
Algeria,12,2050,57437,11444,36236,9756
Algeria,12,2055,59106,11556,36182,11369
Algeria,12,2060,60316,11248,36499,12569
Algeria,12,2065,61131,10711,37430,12990
Algeria,12,2070,61690,10282,38299,13109
Algeria,12,2075,62099,10123,38072,13904
Algeria,12,2080,62423,10135,36927,15360
Algeria,12,2085,62672,10126,36005,16540
Algeria,12,2090,62815,9970,35465,17379
Algeria,12,2095,62792,9686,35250,17856
Algeria,12,2100,62556,9390,35085,18082
Egypt,818,2015,93778,31075,57955,4748
Egypt,818,2020,102941,34136,63320,5486
Egypt,818,2025,111471,35948,68960,6563
Egypt,818,2030,119746,35282,76600,7863
Egypt,818,2035,128264,35532,83392,9340
Egypt,818,2040,137066,36870,89114,11082
Egypt,818,2045,145576,38353,93794,13428
Egypt,818,2050,153433,39047,98149,16237
Egypt,818,2055,160546,38793,102468,19286
Egypt,818,2060,167005,38249,107342,21415
Egypt,818,2065,172964,37873,112156,22935
Egypt,818,2070,178407,37673,115998,24736
Egypt,818,2075,183296,37406,118880,27009
Egypt,818,2080,187610,36847,119531,31232
Egypt,818,2085,191350,36068,120378,34903
Egypt,818,2090,194498,35243,121363,37892
Egypt,818,2095,196986,34507,122019,40461
Egypt,818,2100,198748,33846,121794,43109
Libya,434,2015,6235,1783,4182,270
Libya,434,2020,6662,1814,4539,309
Libya,434,2025,7032,1766,4898,369
Libya,434,2030,7342,1651,5215,476
Libya,434,2035,7604,1556,5387,660
Libya,434,2040,7825,1500,5430,895
Libya,434,2045,8004,1483,5376,1145
Libya,434,2050,8124,1475,5299,1349
Libya,434,2055,8175,1449,5223,1502
Libya,434,2060,8163,1397,5182,1584
Libya,434,2065,8107,1335,5143,1628
Libya,434,2070,8031,1286,5067,1677
Libya,434,2075,7949,1257,4934,1758
Libya,434,2080,7866,1239,4758,1869
Libya,434,2085,7776,1220,4609,1948
Libya,434,2090,7674,1190,4493,1991
Libya,434,2095,7558,1154,4403,2000
Libya,434,2100,7431,1118,4321,1992
Morocco,504,2015,34803,9626,22951,2226
Morocco,504,2020,37071,9911,24335,2824
Morocco,504,2025,39101,9944,25490,3666
Morocco,504,2030,40874,9549,26736,4588
Morocco,504,2035,42407,9154,27813,5440
Morocco,504,2040,43714,8854,28602,6257
Morocco,504,2045,44798,8662,28993,7143
Morocco,504,2050,45660,8503,28916,8241
Morocco,504,2055,46301,8293,28705,9303
Morocco,504,2060,46710,8007,28394,10309
Morocco,504,2065,46887,7688,28223,10976
Morocco,504,2070,46843,7398,27936,11508
Morocco,504,2075,46607,7168,27440,12000
Morocco,504,2080,46226,6980,26582,12664
Morocco,504,2085,45740,6797,25757,13187
Morocco,504,2090,45175,6595,25026,13554
Morocco,504,2095,44536,6379,24384,13773
Morocco,504,2100,43840,6174,23772,13893
Sudan,729,2015,38648,16034,21278,1336
Sudan,729,2020,43541,17307,24628,1606
Sudan,729,2025,49000,18648,28433,1918
Sudan,729,2030,54842,20122,32428,2292
Sudan,729,2035,60996,21636,36613,2747
Sudan,729,2040,67357,23046,41067,3244
Sudan,729,2045,73835,24253,45773,3810
Sudan,729,2050,80386,25287,50634,4465
Sudan,729,2055,86991,26239,55544,5208
Sudan,729,2060,93616,27170,60220,6226
Sudan,729,2065,100200,28075,64638,7487
Sudan,729,2070,106642,28874,68845,8923
Sudan,729,2075,112828,29493,72927,10409
Sudan,729,2080,118689,29910,76904,11875
Sudan,729,2085,124210,30188,80668,13354
Sudan,729,2090,129395,30386,84093,14915
Sudan,729,2095,134209,30488,87107,16614
Sudan,729,2100,138648,30486,89739,18423
Tunisia,788,2015,11274,2671,7745,858
Tunisia,788,2020,11903,2873,7979,1051
Tunisia,788,2025,12432,2937,8194,1300
Tunisia,788,2030,12842,2753,8493,1595
Tunisia,788,2035,13161,2550,8716,1894
Tunisia,788,2040,13435,2431,8869,2134
Tunisia,788,2045,13681,2425,8843,2414
Tunisia,788,2050,13884,2470,8667,2747
Tunisia,788,2055,14015,2476,8469,3071
Tunisia,788,2060,14064,2403,8387,3274
Tunisia,788,2065,14043,2290,8407,3347
Tunisia,788,2070,13981,2196,8432,3353
Tunisia,788,2075,13898,2152,8347,3399
Tunisia,788,2080,13805,2141,8071,3593
Tunisia,788,2085,13707,2127,7811,3769
Tunisia,788,2090,13599,2086,7624,3889
Tunisia,788,2095,13472,2022,7515,3935
Tunisia,788,2100,13321,1959,7435,3928
Western Sahara,732,2015,526,150,363,13
Western Sahara,732,2020,597,162,415,20
Western Sahara,732,2025,668,173,464,31
Western Sahara,732,2030,737,178,516,43
Western Sahara,732,2035,802,182,564,57
Western Sahara,732,2040,865,185,607,73
Western Sahara,732,2045,925,188,643,93
Western Sahara,732,2050,982,193,673,116
Western Sahara,732,2055,1033,196,698,139
Western Sahara,732,2060,1079,199,720,160
Western Sahara,732,2065,1119,200,740,179
Western Sahara,732,2070,1154,201,758,196
Western Sahara,732,2075,1186,202,771,213
Western Sahara,732,2080,1213,203,776,234
Western Sahara,732,2085,1237,204,779,254
Western Sahara,732,2090,1258,204,780,273
Western Sahara,732,2095,1274,204,780,291
Western Sahara,732,2100,1287,203,778,306
Southern Africa,913,2015,63420,19098,41208,3114
Southern Africa,913,2020,67595,19706,44166,3723
Southern Africa,913,2025,71396,20004,47013,4378
Southern Africa,913,2030,74786,19807,49928,5051
Southern Africa,913,2035,77903,19502,52648,5753
Southern Africa,913,2040,80794,19245,55005,6543
Southern Africa,913,2045,83444,19057,56875,7511
Southern Africa,913,2050,85800,18846,58106,8848
Southern Africa,913,2055,87835,18534,58922,10378
Southern Africa,913,2060,89532,18122,59594,11816
Southern Africa,913,2065,90905,17687,60131,13087
Southern Africa,913,2070,91959,17285,60465,14210
Southern Africa,913,2075,92700,16927,60398,15376
Southern Africa,913,2080,93150,16587,59837,16726
Southern Africa,913,2085,93327,16233,59104,17990
Southern Africa,913,2090,93254,15866,58306,19082
Southern Africa,913,2095,92957,15498,57480,19979
